team_id,short_name,division,wins,losses,conf_wins,conf_losses
483,Gonzaga,Gonzaga Bulldogs,,,
2,Oregon,Oregon Ducks,,,
3,Oregon St.,Oregon State Beavers,,,
482,Portland,Portland Pilots,,,
484,Seattle U,Seattle U Redhawks,,,
1,UW,Washington Huskies,,,
4,Wash. St.,Washington State Cougars,,,
5,CWU,Central Washington Wildcats,,,
7,MSUB,MSU-Billings Yellowjackets,,,
9,NNU,NNU Nighthawks,,,
6,SMU,Saint Martin's Saints,,,
8,WOU,Western Oregon Wolves,,,
18,GFU,George Fox Bruins,,,
15,L&C,Lewis & Clark Pioneers,,,
14,Linfield,Linfield Wildcats,,,
11,PLU,PLU Lutes,,,
17,Pacific,Pacific Boxers,,,
10,UPS,Puget Sound Loggers,,,
12,Whitman,Whitman Blues,,,
13,Whitworth,Whitworth Pirates,,,
16,Willamette,Willamette Bearcats,,,
24,Bushnell,Bushnell Beacons,,,
21,C of I,College of Idaho Yotes,,,
23,Corban,Corban Warriors,,,
19,EOU,Eastern Oregon Mountaineers,,,
22,LCSC,Lewis-Clark State Warriors,,,
20,OIT,Oregon Tech Owls,,,
5720,UBC,UBC Thunderbirds,,,
505,Warner Pacific,Warner Pacific Knights,,,
25,Bellevue,Bellevue Bulldogs,,,
33,Big Bend,Big Bend Vikings,,,
40,Blue Mountain,Blue Mountain Timberwolves,,,
48,Centralia,Centralia Blazers,,,
41,Chemeketa,Chemeketa Storm,,,
42,Clackamas,Clackamas Cougars,,,
49,Clark,Clark Penguins,,,
34,Columbia Basin,Columbia Basin Hawks,,,
26,Douglas,Douglas Royals,,,
27,Edmonds,Edmonds Tritons,,,
28,Everett,Everett Trojans,,,
50,Grays Harbor,Grays Harbor Chokers,,,
43,Lane,Lane Titans,,,
44,Linn-Benton,Linn-Benton Roadrunners,,,
52,Lower Columbia,Lower Columbia Red Devils,,,
45,Mt. Hood,Mt. Hood Saints,,,
29,Olympic,Olympic Rangers,,,
30,Pierce,Pierce Raiders,,,
46,SW Oregon,SW Oregon Lakers,,,
31,Shoreline,Shoreline Dolphins,,,
32,Skagit,Skagit Valley Cardinals,,,
35,Spokane,Spokane Falls Bigfoot,,,
53,Tacoma,Tacoma Titans,,,
36,Treasure Valley,Treasure Valley Chukars,,,
47,Umpqua,Umpqua Riverhawks,,,
37,Walla Walla,Walla Walla Warriors,,,
38,Wenatchee Valley,Wenatchee Valley Knights,,,
39,Yakima Valley,Yakima Valley Yaks,,,
